Species,Area,Cryptogenic,Introduced,Dispersal,Established,Eradicated,Intentional_Release,Year,Reference Year,Reference
Galleria mellonella,Madeira,,1.0,,1.0,0.0,,,2024,CAB International (CABI) (2024). CABI Invasive Species Compendium. Available at: https://www.cabidigitallibrary.org/product/QI
Phthorimaea absoluta,India,,1.0,,1.0,0.0,,2017.0,2024,CAB International (CABI) (2024). CABI Invasive Species Compendium. Available at: https://www.cabidigitallibrary.org/product/QI
Spodoptera frugiperda,India,,1.0,,1.0,0.0,,,2024,CAB International (CABI) (2024). CABI Invasive Species Compendium. Available at: https://www.cabidigitallibrary.org/product/QI
Spodoptera eridania,India,,,,1.0,0.0,,,2024,CAB International (CABI) (2024). CABI Invasive Species Compendium. Available at: https://www.cabidigitallibrary.org/product/QI
Coleophora deauratella,United States,,1.0,,1.0,0.0,,,2024,CAB International (CABI) (2024). CABI Invasive Species Compendium. Available at: https://www.cabidigitallibrary.org/product/QI
Archips fuscocupreanus,United States,,1.0,,1.0,0.0,,,2024,CAB International (CABI) (2024). CABI Invasive Species Compendium. Available at: https://www.cabidigitallibrary.org/product/QI
Cydalima perspectalis,United States,,,,1.0,0.0,,,2024,CAB International (CABI) (2024). CABI Invasive Species Compendium. Available at: https://www.cabidigitallibrary.org/product/QI
Grapholita molesta,Brazil,,,,1.0,0.0,,,2024,CAB International (CABI) (2024). CABI Invasive Species Compendium. Available at: https://www.cabidigitallibrary.org/product/QI
Rhyacionia buoliana,United States,,1.0,,1.0,0.0,,,2024,CAB International (CABI) (2024). CABI Invasive Species Compendium. Available at: https://www.cabidigitallibrary.org/product/QI
Paranthrene tabaniformis,United States,,,,1.0,0.0,,,2024,CAB International (CABI) (2024). CABI Invasive Species Compendium. Available at: https://www.cabidigitallibrary.org/product/QI
